"CreditScore","Geography","Gender","Age","Tenure","Balance","NumOfProducts","HasCrCard","IsActiveMember","EstimatedSalary","Exited"
699,"Spain","Male",40,6,115563.71,3,0,0,83068.28,1
728,"France","Male",33,2,0,2,1,1,141798.56,0
653,"Spain","Male",37,0,0,2,0,1,173952.5,0
632,"France","Male",47,1,0,2,1,0,100995.99,0
605,"France","Female",37,0,0,2,1,1,160129.99,0
641,"France","Male",32,5,0,2,1,1,91957.39,0
617,"France","Male",25,8,0,2,1,0,14073.11,0
805,"France","Female",31,3,0,1,1,0,4798.12,0
712,"France","Male",22,9,0,2,1,0,164975.01,0
741,"France","Female",32,4,0,1,1,0,160523.87,1
615,"France","Female",41,2,0,1,1,1,158750.53,0
636,"France","Female",31,3,102346.86,1,1,0,177613.19,0
590,"France","Male",30,10,99250.08,1,0,1,129629.41,1
619,"Spain","Male",36,4,0,2,1,1,151924.9,0
684,"France","Male",34,10,128306.7,1,1,1,14357,1
744,"Germany","Female",54,1,74812.84,1,0,1,167564.82,1
614,"Spain","Male",36,4,134583.94,1,1,1,71333.62,0
738,"Germany","Male",27,3,91718.2,2,1,0,129660.77,0
660,"Germany","Female",36,2,152264.81,1,1,0,110252.53,1
713,"Germany","Female",45,3,114450.58,1,1,0,26557.55,1
695,"France","Female",38,8,0,2,1,1,88890.05,0
707,"Germany","Male",29,1,122265.24,2,1,0,124908.46,0
717,"France","Female",41,7,152105.57,2,1,0,132374.41,0
583,"Spain","Male",34,3,0,2,1,1,38315.04,0
614,"Germany","Female",41,5,127763.24,1,1,0,57929.9,1
707,"Spain","Female",29,4,0,1,1,0,174911.73,0
682,"France","Female",48,7,0,2,1,0,104719.43,0
593,"Germany","Female",47,10,108235.91,1,0,1,161465.31,1
756,"Germany","Male",24,1,76548.6,2,1,1,159800.16,0
659,"Germany","Female",24,7,103034.56,2,1,0,103536.38,0
706,"France","Male",36,2,0,2,0,0,88827.67,0
762,"Spain","Male",38,4,115545.33,2,0,1,148256.43,0
677,"France","Male",33,10,0,1,1,0,189992.97,0
652,"Spain","Male",28,9,156823.7,1,0,0,198251.52,1
580,"France","Female",41,9,171671.9,3,1,1,123663.63,1
762,"Spain","Female",19,6,0,2,0,0,55500.17,1
689,"Spain","Female",29,6,0,2,0,0,122949.71,0
598,"Germany","Female",50,8,88379.81,3,1,0,64157.24,1
653,"Germany","Male",31,7,116822.21,1,1,1,108891.2,0
681,"France","Male",59,4,122781.51,1,0,0,140166.95,1
714,"France","Male",29,6,92887.13,1,1,1,69578.49,0
725,"France","Female",37,5,0,2,1,1,174825.04,0
751,"Germany","Male",35,5,82547.26,1,0,0,93959.96,0
598,"Spain","Female",39,6,61211.01,1,0,1,40321.63,0
584,"France","Female",29,5,0,1,0,0,172601.65,0
724,"Spain","Female",40,5,142880.28,1,0,0,185541.2,1
521,"France","Female",25,9,0,1,1,1,151349.85,1
669,"Spain","Male",41,4,163764.84,2,1,1,124592.83,0
610,"France","Female",26,8,100762.64,2,0,1,125222.36,0
652,"France","Female",55,4,0,1,1,1,179445.28,1
635,"France","Male",40,7,0,1,1,1,171513.87,0
591,"France","Male",39,8,0,2,1,1,73949.62,0
598,"France","Male",25,7,0,1,1,1,146585.57,0
632,"France","Female",29,3,0,2,0,1,73329.08,0
566,"France","Male",63,7,99824.45,1,1,0,115291.86,1
709,"France","Male",32,1,122889.88,1,1,1,26476.18,0
697,"France","Male",41,4,0,2,1,1,163983.88,0
706,"France","Male",54,8,160736.05,2,0,1,93746.02,1
684,"Germany","Male",39,9,123764.96,2,0,0,153516.35,0
468,"Spain","Male",24,3,0,2,1,1,160810.85,0
593,"France","Male",38,7,0,2,1,0,19515.48,0
695,"France","Female",46,2,0,1,1,1,71047.51,0
706,"Spain","Male",28,6,0,2,0,1,171445.92,0
641,"France","Male",42,6,109346.3,1,1,0,8982.8,0
558,"France","Female",19,0,0,2,1,1,91036.74,1
751,"France","Female",37,3,0,2,1,1,64443.75,0
686,"France","Male",35,5,0,2,0,0,192381.21,0
733,"France","Female",41,4,115221.36,1,0,1,70956.75,0
645,"Spain","Female",36,6,0,2,1,0,49361.59,0
589,"France","Female",42,10,0,2,1,0,148087.43,0
535,"France","Male",38,0,0,2,1,1,145562.4,0
571,"Spain","Male",35,4,138523.01,1,1,0,151667.33,0
648,"France","Male",43,8,0,2,1,0,103969.63,0
755,"France","Male",48,6,0,1,1,1,74850.77,1
635,"France","Female",36,1,0,2,1,1,183598.77,0
754,"Spain","Male",39,5,157691.98,2,1,1,133600.89,0
652,"Spain","Female",31,1,132862.59,1,1,0,158054.49,0
597,"Spain","Male",65,1,0,2,1,0,162515.83,1
636,"France","Male",29,0,0,2,1,0,196582.28,0
665,"France","Male",38,1,0,1,1,0,77783.35,0
623,"France","Male",22,2,0,2,0,1,131778.02,0
647,"Spain","Male",29,8,0,2,1,1,179032.68,0
670,"Spain","Male",41,8,149961.99,2,0,1,82868.34,0
677,"Germany","Female",30,4,137456.07,1,0,1,88820.49,0
613,"France","Male",37,5,128173.31,1,1,1,88820.35,0
659,"France","Male",38,6,0,2,1,0,147075.69,0
690,"France","Male",35,9,0,2,1,1,82696.09,0
582,"France","Male",34,8,0,2,1,0,96546.57,0
812,"France","Female",25,4,54817.55,2,1,1,131660.31,0
598,"France","Male",29,4,0,2,1,0,129933.5,0
594,"Germany","Male",32,7,180515.83,1,1,0,115800.2,1
850,"France","Male",35,1,141763.58,1,1,0,156515.96,0
706,"France","Male",62,3,0,1,0,0,47795.03,1
627,"Spain","Female",28,9,0,2,1,0,67622.34,0
728,"Germany","Male",22,8,154737.56,2,1,1,27474.41,0
758,"France","Male",25,5,0,2,0,1,54926.51,0
678,"Germany","Male",49,5,113722.47,1,1,1,141798.98,1
738,"France","Female",28,0,0,2,1,1,73977.23,0
558,"Germany","Male",50,4,142475.81,1,1,0,141359.11,1
710,"France","Female",33,7,0,2,1,0,134483.07,0
687,"France","Male",53,8,0,2,1,0,74965.44,1
763,"Germany","Male",39,9,143903.11,2,1,1,65801.44,0
562,"Germany","Female",35,7,118569.03,1,1,1,163558.36,0
549,"France","Female",39,1,138053.79,1,1,0,91026.76,0
611,"France","Female",34,9,0,2,1,1,160810.85,0
705,"France","Female",39,1,0,1,1,0,164741.5,1
578,"France","Male",69,4,0,2,1,1,48930.8,0
623,"Spain","Female",36,6,0,2,1,0,17802.42,0
714,"France","Female",48,4,0,1,1,0,11638.17,1
663,"France","Female",37,9,0,1,0,1,131625.14,0
591,"Spain","Male",28,5,0,2,1,1,48382.4,0
729,"Germany","Male",46,3,85906.55,1,1,0,86977.8,0
712,"France","Female",37,2,0,2,1,0,126812.63,0
706,"Germany","Male",48,5,142400.27,1,1,0,114775.24,1
459,"France","Male",48,3,0,1,1,1,50016.17,1
653,"France","Male",29,9,0,2,1,1,62746.36,0
683,"France","Male",57,9,0,2,1,0,182025.95,0
740,"Germany","Male",38,8,178787.54,1,1,0,172490.78,0
585,"Spain","Female",28,6,127638.35,1,0,0,131553.74,0
519,"France","Female",36,7,0,2,1,0,145560.38,0
703,"France","Male",30,5,0,1,1,1,60533.96,0
564,"Germany","Male",33,3,109341.87,1,0,1,75632.78,0
613,"France","Male",29,0,0,2,1,0,93835.49,0
496,"France","Male",42,6,105239.1,1,1,0,82937.98,0
769,"Spain","Female",68,4,92855.02,1,0,1,92977.75,0
703,"Spain","Male",31,8,0,1,0,0,121568.37,1
678,"France","Male",26,5,0,2,1,0,176903.35,0
652,"Germany","Female",38,5,106376.85,1,1,1,179351.89,1
576,"Spain","Male",30,3,0,2,0,1,179066.58,0
622,"Germany","Female",46,7,117325.23,2,0,1,173464.43,0
728,"France","Female",25,8,0,1,0,1,104889.2,0
656,"France","Male",33,10,0,2,0,0,136051.47,0
584,"Spain","Female",55,1,0,1,0,0,91775.51,1
593,"Germany","Female",35,1,136855.82,2,0,1,102975.25,0
575,"Germany","Female",32,2,145330.43,1,0,0,60988.21,1
644,"France","Male",38,2,142360.62,1,1,1,184524.65,0
641,"France","Male",62,6,0,1,1,1,120107.1,1
604,"France","Male",33,4,0,2,1,1,128882.86,0
651,"France","Male",44,9,0,2,1,0,26257.01,0
684,"France","Male",30,9,0,2,1,1,159268.67,0
616,"France","Female",44,4,123322.15,1,1,0,137136.29,0
585,"France","Female",39,4,0,1,0,0,172939.3,1
748,"Spain","Male",36,8,0,2,0,0,111893.09,0
712,"Germany","Male",43,8,116520.24,2,1,1,67438.93,1
560,"Spain","Female",43,10,149991.33,1,1,1,177025.24,0
653,"France","Male",43,6,0,2,1,1,143955.72,0
581,"France","Female",37,7,0,2,0,0,129964.09,0
628,"France","Male",28,4,0,2,1,0,176750.81,0
585,"France","Male",53,4,103399.15,1,1,0,141049.47,1
850,"Spain","Female",30,4,131765.65,1,1,1,126517.91,0
727,"France","Male",59,9,0,1,1,0,97908.3,1
606,"Spain","Female",38,3,0,2,0,1,90896.04,0
685,"France","Male",31,3,0,2,1,0,177738.98,0
637,"France","Female",35,3,132951.92,2,1,1,124486.28,0
631,"France","Female",39,4,97925.75,1,1,1,179435.1,0
753,"France","Male",41,4,0,2,1,1,199693.84,0
633,"Germany","Female",35,2,96763.45,1,1,0,181605.45,1
694,"Germany","Female",51,1,113833.74,1,1,1,161054.65,1
667,"France","Female",28,7,0,2,1,1,73963.17,0
598,"Germany","Female",68,7,133845.01,1,1,1,183568.01,1
609,"France","Female",32,7,71872.19,1,1,1,151924.9,1
596,"France","Male",30,3,125537.21,1,1,1,137037.96,0
484,"France","Female",55,8,0,3,0,0,137519.92,0
756,"Spain","Male",31,2,131406.78,1,1,0,174902.12,0
717,"France","Male",28,7,108117.75,1,0,1,64839.36,0
539,"France","Male",33,3,139979.79,1,1,1,156660.33,0
690,"Germany","Female",48,7,110463.25,1,1,0,160532.88,1
771,"France","Male",35,3,0,2,1,0,152479.64,0
596,"France","Male",34,7,0,2,1,0,59747.31,0
658,"Spain","Female",32,7,0,2,1,0,102908.91,0
584,"France","Male",56,5,0,2,1,1,122549.96,0
485,"Spain","Male",41,8,0,2,0,1,91561.78,0
573,"France","Female",30,9,0,2,1,0,122998.26,0
710,"Spain","Male",33,7,0,2,1,0,54530.51,0
628,"France","Male",45,6,0,1,1,0,48963.59,1
659,"France","Female",26,7,0,2,1,0,177622.31,0
521,"France","Male",34,6,125474.28,2,1,1,151912.63,0
775,"France","Female",43,1,112465.06,1,1,0,147521.35,0
684,"Germany","Male",49,7,123428.2,2,1,0,178256.52,1
624,"Germany","Male",41,5,142406.43,1,0,0,28461.29,1
652,"France","Male",37,7,128398.49,1,1,1,60778.51,0
850,"France","Male",24,9,0,2,1,0,79222.22,0
628,"Germany","Female",39,9,134874.4,2,0,0,115022.94,1
662,"France","Male",39,9,0,1,0,0,141860.62,1
703,"Spain","Female",35,3,95231.91,2,1,1,182913.95,0
635,"France","Female",37,9,0,2,1,1,27758.43,0
707,"France","Male",57,8,92053,1,1,0,164064.44,0
607,"Germany","Male",30,7,131778.76,2,1,0,79577.6,0
539,"Spain","Female",38,8,0,2,0,0,88566.9,0
493,"France","Male",31,1,0,2,0,0,35321.86,0
642,"France","Male",26,8,0,2,1,0,147557.71,0
716,"France","Male",36,1,138160,1,1,1,103548.25,0
746,"France","Male",32,4,0,2,1,1,156791.36,0
707,"Germany","Male",34,1,162691.16,1,1,0,94912.78,0
667,"France","Male",36,2,0,2,0,1,57553.98,0
790,"France","Female",37,0,0,1,0,0,141872.05,1
589,"Spain","Female",33,2,0,2,1,1,105783.73,0
628,"France","Male",38,5,0,2,0,1,10921.5,0
642,"Germany","Male",62,3,114327.3,1,0,1,94945.4,1
725,"Germany","Female",45,8,116917.07,1,0,1,173464.43,1
682,"Spain","Male",37,9,0,1,1,1,161083.85,0
710,"France","Male",34,9,160903.2,1,0,1,165675.01,0
685,"France","Male",46,7,139859.54,1,1,0,124170.9,0
707,"France","Female",31,6,156091.97,2,1,1,145527.35,0
755,"Germany","Male",43,7,165048.5,3,1,0,16929.41,0
594,"France","Male",36,1,160376.61,2,0,1,197984.58,0
628,"France","Female",34,7,0,2,1,0,36249.76,0
850,"Spain","Female",32,10,0,1,1,0,100101.06,0
703,"France","Female",43,5,0,2,1,1,75732.25,0
667,"France","Female",39,3,0,2,1,1,176720.49,0
644,"France","Female",50,9,0,2,1,1,110498.1,0
809,"France","Female",24,4,112808.18,1,1,0,193518.76,0
684,"Germany","Female",43,6,138032.36,2,1,0,146700.29,0
713,"France","Female",37,1,0,1,0,1,55313.51,1
655,"Germany","Male",51,3,69413.47,2,1,0,79414,1
694,"France","Female",36,7,0,2,1,1,173835.19,0
655,"France","Female",34,1,0,2,1,0,116471.71,0
729,"Germany","Female",37,0,109974.22,1,1,1,36320.87,1
718,"Spain","Female",33,6,0,2,1,1,94898.3,0
576,"Spain","Male",33,1,152509.25,1,1,0,160968.44,0
584,"France","Female",46,5,0,3,0,0,1801.88,1
828,"France","Female",50,9,0,2,1,0,76614.04,0
659,"Spain","Male",38,1,0,2,1,0,187905.12,0
646,"Germany","Female",54,0,90212,1,1,0,13911.27,1
725,"France","Male",43,0,0,2,1,1,179541.15,0
653,"France","Male",37,9,121151.05,1,1,0,24765.53,0
721,"France","Female",34,8,0,2,1,1,125083.67,0
684,"Germany","Male",45,2,70291.02,1,1,0,115468.84,1
665,"France","Female",33,1,0,1,1,1,146677.37,1
717,"France","Male",51,4,135756.96,1,1,0,137980.58,1
717,"Spain","Male",40,4,0,1,1,0,175082.77,0
641,"France","Male",28,3,0,2,1,1,177655.87,0
708,"Spain","Female",32,0,126589.12,2,0,1,19131.71,1
728,"France","Male",34,4,139859.01,1,1,1,93835.84,0
692,"France","Male",31,7,0,2,1,0,121747.96,0
652,"France","Male",50,7,0,1,1,0,3453.4,1
850,"Spain","Female",48,4,0,1,1,0,141558.04,1
556,"Spain","Female",31,6,128663.81,2,1,1,125083.29,1
651,"France","Male",45,7,0,1,1,0,67202.74,0
582,"Germany","Male",35,1,123407.69,1,1,0,152541.89,1
543,"Germany","Female",49,7,83049.65,1,1,0,77856.38,1
458,"Spain","Male",39,5,0,1,0,0,79723.78,0
593,"France","Female",31,9,0,2,1,1,93881.75,0
587,"France","Male",32,6,131647.01,1,1,1,73464.88,0
749,"Germany","Female",37,5,112146.12,1,1,0,75927.35,1
663,"France","Male",42,6,0,2,0,1,87412.34,0
680,"France","Male",25,7,140900.97,1,0,1,83295.09,0
671,"Spain","Female",29,6,0,2,1,0,12048.67,0
600,"France","Male",43,9,110783.28,1,1,0,142903.44,0
703,"France","Male",37,3,0,2,1,0,98820.07,0
574,"Germany","Female",27,2,117438.74,2,1,1,114448.76,0
628,"Spain","Male",42,7,0,2,0,1,172939.3,0
679,"France","Male",29,9,0,2,1,0,13133.88,1
526,"France","Female",57,3,0,2,1,0,143104.3,0
686,"France","Female",46,6,0,1,1,0,93524.19,1
621,"France","Male",43,1,0,2,1,0,47578.45,0
716,"Spain","Male",23,4,135756.56,1,1,1,115429.19,0
605,"France","Male",30,5,0,2,1,0,71672.86,0
559,"Germany","Male",50,6,119349.69,3,1,0,176914.89,1
647,"Germany","Male",35,7,85906.65,2,1,0,189159.97,0
728,"Germany","Male",35,9,106518.52,2,1,1,65675.47,0
794,"Germany","Male",56,0,139603.22,1,1,0,86383.61,1
458,"France","Female",39,9,109799.55,1,1,0,116343.09,0
770,"France","Male",38,5,0,2,0,1,180326.83,0
721,"France","Female",57,9,123086.39,1,0,0,66979.58,0
785,"France","Female",38,5,0,1,1,0,134964.85,1
681,"France","Male",35,1,106770.82,1,1,1,146785.44,0
569,"France","Female",30,9,119755,2,1,0,82927.65,0
660,"Germany","Female",39,3,99282.66,2,1,1,72856.78,0
594,"France","Male",43,4,0,1,0,0,64595.25,1
698,"France","Male",39,8,0,2,1,0,147530.06,0
593,"Germany","Female",37,8,120961.5,2,0,1,27366.77,1
632,"France","Female",32,1,0,2,1,0,102535.63,0
637,"Germany","Male",40,1,118889.06,2,1,1,162484.69,0
684,"France","Male",23,1,0,1,0,0,125961.48,1
543,"France","Male",42,7,0,1,1,1,56650.47,1
712,"Germany","Male",57,6,113522.43,1,0,1,65763.57,1
791,"Germany","Male",42,0,113657.41,1,0,1,139946.68,1
735,"Germany","Female",24,7,103099.17,2,1,0,173276.62,0
649,"France","Female",33,3,102800.69,1,1,0,174913.74,0
662,"Spain","Male",46,3,126772.57,1,1,1,25183.01,0
567,"Germany","Male",36,6,131284.66,2,1,1,183572.08,0
535,"France","Male",37,4,0,1,1,1,134526.57,0
628,"Germany","Female",40,8,127560.54,2,1,0,80198.53,1
631,"Germany","Male",52,1,139592.98,3,1,0,64771.61,1
638,"France","Female",39,2,0,1,1,0,136810.46,1
624,"Spain","Female",35,2,97640.61,1,1,1,61314.04,0
655,"France","Male",48,2,0,1,1,1,59981.62,0
671,"France","Male",39,3,123888.26,1,1,0,1408.78,0
611,"France","Male",29,9,0,2,1,0,61513.87,0
673,"France","Female",29,8,129729.6,1,1,1,105383.49,1
629,"France","Male",29,4,0,2,1,0,91844.14,0
833,"France","Female",28,3,0,2,1,0,183646.41,0
586,"Spain","Male",69,9,0,1,1,1,63495.41,0
584,"France","Female",38,6,0,2,1,1,143681.85,0
544,"France","Male",31,6,73059.38,1,1,0,157564.75,0
636,"France","Female",28,3,102097.33,1,1,1,167723.25,0
726,"France","Female",34,3,0,1,1,0,47775.34,0
684,"France","Male",34,5,0,1,1,1,74580.8,0
583,"France","Female",31,9,137960.55,1,1,1,104722.47,0
734,"Germany","Female",43,8,116968.91,1,1,0,9972.64,1
845,"Spain","Female",52,3,0,1,1,0,31726.76,0
614,"France","Male",38,10,0,1,1,1,138526.96,0
758,"France","Male",27,8,104719.17,1,0,1,79061.68,0
697,"Spain","Female",59,2,121389.78,1,0,1,84803.76,0
648,"France","Male",29,5,0,1,1,1,138700.94,0
772,"France","Male",37,7,143625.83,2,1,1,176487.05,0
588,"Spain","Female",29,1,134796.04,1,1,1,84584.69,0
535,"France","Male",38,5,67226.37,1,1,1,149853.89,0
617,"France","Female",27,8,0,2,0,0,190269.21,0
593,"France","Female",37,10,0,2,1,0,121593.39,0
606,"Germany","Male",62,5,98854.34,1,0,1,86920.97,0
767,"Germany","Female",35,7,132253.22,1,1,0,115566.57,0
771,"France","Male",67,5,0,2,1,1,51219.8,0
704,"France","Female",54,8,137811.75,1,1,0,158610.89,1
705,"Germany","Female",43,4,146547.78,1,0,1,10072.55,0
594,"Germany","Male",32,4,144953.31,1,1,0,79623.28,0
684,"Spain","Male",43,9,95668.88,1,1,0,90977.75,0
632,"France","Female",41,8,0,2,0,1,6761.84,0
589,"France","Female",53,2,0,1,1,0,73946.36,1
581,"Germany","Female",33,4,119413.62,2,1,1,96420.58,0
589,"France","Male",36,6,0,2,1,1,145937.99,0
712,"France","Male",42,6,0,2,1,0,93844.89,0
608,"Spain","Male",40,7,145260.98,2,0,0,43932.56,0
686,"Spain","Male",26,2,123912.78,2,1,1,146636.44,0
